feature,importance,pct
stars_per_day,27800.0,8.55
owner_total_stars,25048.666666666668,7.7
owner_mean_stars,22464.666666666668,6.91
fork_to_star_ratio,20777.666666666668,6.39
log_stars_per_day,20335.333333333332,6.25
age_days,19781.666666666668,6.08
log_owner_total_stars,17494.666666666668,5.38
forks_per_day,16748.666666666668,5.15
owner_std_stars,14885.666666666666,4.58
forks_count,13735.333333333334,4.22
owner_mean_forks,13135.333333333334,4.04
owner_tenure_days,12950.333333333334,3.98
owner_total_forks,12633.0,3.88
log_forks_per_day,12051.666666666666,3.71
issue_to_star_ratio,9711.0,2.99
owner_active_days,9225.333333333334,2.84
issues_per_day,7897.666666666667,2.43
owner_repo_count,7548.666666666667,2.32
owner_success_rate,6101.333333333333,1.88
open_issues_count,5901.666666666667,1.81
log_issues_per_day,5494.0,1.69
log_owner_repo_count,5130.0,1.58
size,4729.0,1.45
readme_emb_99,2335.3333333333335,0.72
readme_emb_280,1951.0,0.6
readme_emb_227,1908.0,0.59
readme_emb_267,1871.0,0.58
readme_emb_71,1868.0,0.57
readme_emb_240,1850.0,0.57
readme_emb_149,1846.6666666666667,0.57
