feature,importance,pct
owner_total_stars,22803.0,11.39
owner_std_stars,19829.0,9.9
owner_active_days,19354.666666666668,9.67
log_owner_total_stars,15931.666666666666,7.96
owner_repo_count,15547.666666666666,7.77
owner_total_forks,13221.0,6.6
owner_mean_stars,12676.333333333334,6.33
log_owner_repo_count,10221.666666666666,5.11
owner_mean_forks,9816.666666666666,4.9
forks_per_day,7919.333333333333,3.96
forks_count,6551.0,3.27
log_forks_per_day,5539.666666666667,2.77
age_days,5189.0,2.59
owner_success_rate,3961.6666666666665,1.98
owner_tenure_days,3915.3333333333335,1.96
issues_per_day,3749.3333333333335,1.87
size,3244.6666666666665,1.62
log_issues_per_day,2569.3333333333335,1.28
readme_emb_99,1854.6666666666667,0.93
open_issues_count,1799.6666666666667,0.9
readme_emb_240,1584.6666666666667,0.79
readme_emb_317,1498.6666666666667,0.75
readme_emb_34,1484.3333333333333,0.74
readme_emb_8,1447.0,0.72
readme_emb_227,1440.3333333333333,0.72
readme_emb_29,1418.6666666666667,0.71
readme_emb_233,1418.3333333333333,0.71
readme_emb_35,1417.0,0.71
readme_emb_244,1413.3333333333333,0.71
readme_emb_267,1405.0,0.7
